code,name_en,name_kn,image,party,
150,Keshava Rajanna B,ಕೇಶವ ರಾಜಣ್ಣ ಬಿ,s10/KESHA-2023-20230417021403,inc,
150,Munegowda M,ಮುನೇಗೌಡ ಎಂ,s10/MUNEG-2023-20230417062703,jds,
150,P Manjunatha,ಪಿ ಮಂಜುನಾಥ,s10/PMANJ-2023-20230419020203,aap,
150,S R Viswanath,ಎಸ್ ಆರ್ ವಿಶ್ವನಾಥ್,s10/SRVIS-2023-20230418043710,bjp,
151,Dr J S Keshava Kumar,ಡಾ ಜೆ ಎಸ್ ಕೇಶವ ಕುಮಾರ್,S10/DRJSK-2023-20230417014724,aap,
151,B A Basavaraja ,ಬಿ ಎ ಬಸವರಾಜ,S10/B.ABA-2023-20230418041859,bjp,
151,D K Mohan,ಡಿ ಕೆ ಮೋಹನ್,s10/DKMOH-2023-20230420064811,inc,
151,C Venkatachalapathi,ಸಿ ವೆಂಕಟಾಚಲಪತಿ,s10/CVenk-2023-20230419042023,jds,
152,Nagaraj Gowda P,ನಾಗರಾಜಗೌಡ ಪಿ,s10/NAGAR-2023-20230420083645,jds,
152,Krishna Byregowda,ಕೃಷ್ಣ ಬೈರೇಗೌಡ,S10/KRISH-2023-20230424052756,inc,
152,Thammesh Gowda H C,ತಮ್ಮೇಶ್ ಗೌಡ ಹೆಚ್ ಸಿ,S10/HCTHA-2023-20230424052717,bjp,
152,Girish K,ಗಿರೀಶ್ ಕೆ,S10/GIRIS-2023-20230424052859,aap,
153,S Balraj Gowda,ಎಸ್ ಬಾಲರಾಜ್ ಗೌಡ,s10/S.BAL-2023-20230417032534,inc,
153,T N Javarayi Gowda,ಟಿ ಎನ್ ಜವರಾಯಿ ಗೌಡ,S10/TNJAV-2023-20230421023143,jds,
153,S T Somashekar,ಎಸ್ ಟಿ ಸೋಮಶೇಖರ್,S10/S.T.S-2023-20230417115854,bjp,
153,Shashidhar C Aradhya,ಶಶಿಧರ್ ಸಿ ಆರಾಧ್ಯ,s10/SHASH-2023-20230418045145,aap,
154,Anantha Subhash Chandra,ಅನಂತ ಸುಭಾಷ್ ಚಂದ್ರ,s10/ANANT-2023-20230417050611,aap,
154,Kusuma H,ಕುಸುಮಾ ಎಚ್,S10/KUSUM-2023-20230418115641,inc,
154,Munirathna,ಮುನಿರತ್ನ,S10/MUNIR-2023-20230418054732,bjp,
154,Dr V Narayana Swamy,ಡಾ ವಿ ನಾರಾಯಣ ಸ್ವಾಮಿ,S10/NARAY-2023-20230420075619,jds,
155,Kirthan Kumar Manjappa,ಕೀರ್ತನ್ ಕುಮಾರ್ ಮಂಜಪ್ಪ,s10/Kirth-2023-20230420012802,aap,
155,G Dhananjaya,ಜಿ ಧನಂಜಯ,S10/GDhan-2023-20230421034014,inc,
155,S Muniraju,ಎಸ್ ಮುನಿರಾಜು,s10/SMuni-2023-20230417013830,bjp,
155,R Manjunatha,ಆರ್ ಮಂಜುನಾಥ,s10/RManj-2023-20230417041434,jds,
156,Keshavamurthy S,ಕೇಶವಮೂರ್ತಿ ಎಸ್,s10/KESHA-2023-20230417022716,inc,
156,K C Rajanna,ಕೆ ಸಿ ರಾಜಣ್ಣ,s10/KCRAJ-2023-20230419050311,jds,
156,Shantala Damle,ಶಾಂತಲಾ ದಾಮ್ಲೆ,s10/SHANT-2023-20230415030919,aap,
156,K Gopalaiah,ಕೆ ಗೋಪಾಲಯ್ಯ,s10/K.GOP-2023-20230417023448,bjp,
157,Uthkarsh A,ಉತ್ಕರ್ಷ್ ಎ,s10/UTHKA-2023-20230418055459,jds,
157,Dr Ashwath Narayan C N,ಡಾ ಅಶ್ವತ್ಥನಾರಾಯಣ ಸಿ ಎನ್,s10/DRASH-2023-20230417072612,bjp,
157,Anoop Iyengar,ಅನೂಪ್ ಅಯ್ಯಂಗಾರ್,S10/ANOOP-2023-20230417070959,inc,
157,Suman,ಸುಮನ್,s10/SUMAN-2023-20230417063218,aap,
158,Jagdeesha Katta K S,ಜಗದೀಶ ಕಟ್ಟಾ ಕೆ ಎಸ್,s10/Jagde-2023-20230420053207,bjp,
158,K S Manjunath Naidu,ಕೆ ಎಸ್ ಮಂಜುನಾಥ್ ನಾಯ್ಡು,s10/KSMan-2023-20230415055808,aap,
158,Suresha B S,ಸುರೇಶ ಬಿ ಎಸ್,s10/Sures-2023-20230418045157,inc,
158,Syed Mohid Altaf,ಸೈಯದ್ ಮೊಹಿದ್ ಅಲ್ತಾಫ್,s10/SyedM-2023-20230417063650,jds,
159,Anuradha V,ಅನುರಾಧ ವಿ,S10/ANURA-2023-20230421123630,jds,
159,A Murali,ಎ ಮುರಳಿ,S10/AMURA-2023-20230421124158,bjp,
159,A C Srinivasa,ಎ ಸಿ ಶ್ರೀನಿವಾಸ,S10/ACSRI-2023-20230421122900,inc,
159,Suresh Rathod,ಸುರೇಶ್ ರಾಥೋಡ್,S10/Sures-2023-20230421122215,aap,
160,Kelachandra Joseph George,ಕೆಲಚಂದ್ರ ಜೋಸೆಫ್ ಜಾರ್ಜ್,s10/KELAC-2023-20230418023051,inc,
160,Padmanabha Reddy,ಪದ್ಮನಾಭ ರೆಡ್ಡಿ,s10/PADMA-2023-20230417045056,bjp,
160,Mohamed Ibrahim,ಮೊಹಮ್ಮದ್ ಇಬ್ರಾಹಿಂ,s10/MOHAM-2023-20230419034348,aap,
160,Mohammed Mustafa,ಮೊಹಮ್ಮದ್ ಮುಸ್ತಫಾ,s10/MOHAM-2023-20230417050221,jds,
161,Anand Kumar S,ಆನಂದ್ ಕುಮಾರ್ ಎಸ್,s10/ANAND-2023-20230420060228,inc,No JDS
161,Mohan Dasari,ಮೋಹನ್ ದಾಸರಿ,s10/MOHAN-2023-20230415044149,aap,
161,S Raghu,ಎಸ್ ರಘು,S10/S.RAG-2023-20230426125536,bjp,
162,Chandra N,ಚಂದ್ರ ಎನ್,S10/CHAND-2023-20230426014403,bjp,No JDS
162,Prakash Nedungadi,ಪ್ರಕಾಶ್ ನೆಡುಂಗಾಡಿ,S10/PRAKA-2023-20230426014510,aap,
162,Rizwan Arshad,ರಿಜ್ವಾನ್ ಅರ್ಷದ್,S10/RIZWA-2023-20230426014632,inc,
163,H Manjunath,ಎಚ್ ಮಂಜುನಾಥ್,s10/HMANJ-2023-20230420030355,jds,
163,K Shivakumar,ಕೆ ಶಿವಕುಮಾರ್,s10/KSHIV-2023-20230417041254,bjp,
163,N A Haris,ಎನ್ ಎ ಹರಿಸ್,s10/N.A.H-2023-20230417043113,inc,
163,Mathai K,ಮಥಾಯಿ ಕೆ,s10/MATHA-2023-20230419034312,aap,
164,S Gopinath,ಎಸ್ ಗೋಪಿನಾಥ್,s10/SGOPI-2023-20230419020213,aap,
164,V Narayanaswamy,ವಿ ನಾರಾಯಣಸ್ವಾಮಿ,s10/VNARA-2023-20230417013601,jds,
164,Sapthagiri Gowda A R,ಸಪ್ತಗಿರಿಗೌಡ ಎ ಆರ್,s10/SAPTH-2023-20230418020331,bjp,
164,Dinesh Gundu Rao,ದಿನೇಶ್ ಗುಂಡೂರಾವ್,s10/DINES-2023-20230417020305,inc,
165,B T Naganna,ಬಿ ಟಿ ನಾಗಣ್ಣ,s10/BTNag-2023-20230419011413,aap,
165,S Suresh Kumar,ಎಸ್ ಸುರೇಶ್ ಕುಮಾರ್,s10/SSure-2023-20230418020439,bjp,
165,Dr Anjanappa T H,ಡಾ ಅಂಜನಪ್ಪ ಟಿ ಹೆಚ್,s10/Dr.An-2023-20230418124133,jds,
165,Puttanna,ಪುಟ್ಟಣ್ಣ,s10/Putta-2023-20230417015905,inc,
166,R Prakash,ಆರ್ ಪ್ರಕಾಶ್,s10/RPRAK-2023-20230417020723,jds,
166,Priyakrishna,ಪ್ರಿಯಾಕೃಷ್ಣ,s10/PRIYA-2023-20230418011812,inc,
166,K Umesh Shetty,ಕೆ ಉಮೇಶ್ ಶೆಟ್ಟಿ,s10/K.UME-2023-20230417042411,bjp,
166,Anjana Gowda,ಅಂಜನ ಗೌಡ,s10/ANJAN-2023-20230417030654,aap,
167,H Ravindra,ಎಚ್ ರವೀಂದ್ರ,s10/HRAVI-2023-20230418022503,bjp,No JDS
167,Ramesh Bellamkonda,ರಮೇಶ ಬೆಲ್ಲಂಕೊಂಡ,s10/RAMES-2023-20230420125648,aap,
167,M Krishnappa,ಎಂ ಕೃಷ್ಣಪ್ಪ,s10/MKRIS-2023-20230418015218,inc,
168,Jagadish Chandra C,ಜಗದೀಶ್ ಚಂದ್ರ ಸಿ,S10/JAGAD-2023-20230421054141,aap,
168,C Govindaraj,ಸಿ ಗೋವಿಂದರಾಜ್,S10/CGOVI-2023-20230419054815,jds,
168,Bhaskar Rao,ಭಾಸ್ಕರ್ ರಾವ್,S10/BHASK-2023-20230419055037,bjp,
168,B Z Zameer Ahmed Khan,ಬಿ ಝಡ್ ಜಮೀರ್ ಅಹಮದ್ ಖಾನ್,s10/BZZAM-2023-20230418030534,inc,
169,Imran Pasha,ಇಮ್ರಾನ್ ಪಾಷಾ,S10/IMRAN-2023-20230421043126,jds,
169,Brijesh Kalappa,ಬ್ರಿಜೇಶ್ ಕಾಳಪ್ಪ,S10/BRIJE-2023-20230421043220,aap,
169,R V Devraj,ಆರ್ ವಿ ದೇವರಾಜ್,S10/RVDEV-2023-20230421042739,inc,
169,Uday B Garudachar,ಉದಯ್ ಬಿ ಗರುಡಾಚಾರ್,S10/UDAYB-2023-20230417011433,bjp,
170,Ravi Subramanya L A,ರವಿ ಸುಬ್ರಹ್ಮಣ್ಯ ಎಲ್ ಎ,S10/RAVIS-2023-20230426113352,bjp,
170,U B Venkatesh,ಯು ಬಿ ವೆಂಕಟೇಶ್,S10/U.B.V-2023-20230426113322,inc,
170,Aramane Shankar,ಅರಮನೆ ಶಂಕರ್,S10/ARAMA-2023-20230426113417,jds,
170,Satyalaxmi Rao,ಸತ್ಯಲಕ್ಷ್ಮಿ ರಾವ್,S10/SATYA-2023-20230426113257,aap,
171,Ajay Mayanna Gowda,ಅಜಯ್ ಮಾಯಣ್ಣ ಗೌಡ,s10/AJAYM-2023-20230417020608,aap,
171,R Ashoka,ಆರ್ ಅಶೋಕ,s10/R.ASH-2023-20230417012909,bjp,
171,V Raghunatha Naidu,ವಿ ರಘುನಾಥ ನಾಯ್ಡು,s10/V.RAG-2023-20230419123719,inc,
171,Manjunath,ಮಂಜುನಾಥ್,s10/MANJU-2023-20230418014926,jds,
172,Ramalinga Reddy,ರಾಮಲಿಂಗಾ ರೆಡ್ಡಿ,s10/RAMAL-2023-20230418121349,inc,
172,K R Sridhara,ಕೆ ಆರ್ ಶ್ರೀಧರ,S10/K.R.S-2023-20230421074435,bjp,
172,M Venkatesha,ಎಂ ವೆಂಕಟೇಶ,s10/M.VEN-2023-20230419044111,jds,
172,Srinivasa Reddy M,ಶ್ರೀನಿವಾಸ ರೆಡ್ಡಿ ಎಂ,s10/SRINI-2023-20230413070015,aap,
173,C K Ramamurthy,ಸಿ ಕೆ ರಾಮಮೂರ್ತಿ,s10/CKRam-2023-20230418021618,bjp,
173,Soumya Reddy,ಸೌಮ್ಯಾ ರೆಡ್ಡಿ,s10/Sowmy-2023-20230417061758,inc,
173,Kalegowda,ಕಾಳೇಗೌಡ,s10/Kaleg-2023-20230419065403,jds,
173,Mahalakshmi C,ಮಹಾಲಕ್ಷ್ಮಿ ಸಿ,s10/Mahal-2023-20230417062149,aap,
174,H Nagesh,ಎಚ್ ನಾಗೇಶ್,s10/HNAGE-2023-20230418021349,inc,No JDS
174,C R Nataraj,ಸಿ ಆರ್ ನಟರಾಜ್,s10/CRNAT-2023-20230420124745,aap,
174,Manjula S,ಮಂಜುಳಾ ಎಸ್,s10/MANJU-2023-20230418032916,bjp,
175,Sathish Reddy M,ಸತೀಶ್ ರೆಡ್ಡಿ ಎಂ,s10/SATHI-2023-20230417021144,bjp,
175,Umapathy Srinivasa Gowda,ಉಮಾಪತಿ ಶ್ರೀನಿವಾಸ ಗೌಡ,s10/Umapa-2023-20230418123850,inc,
175,K Narayan Raju,ಕೆ ನಾರಾಯಣರಾಜು,s10/K.Nar-2023-20230419125048,jds,
175,Sitharamu,ಸೀತಾರಾಮು,s10/Sitha-2023-20230418020602,aap,
176,H P Rajagopala Reddy,ಎಚ್ ಪಿ ರಾಜಗೋಪಾಲ ರೆಡ್ಡಿ,s10/Rajag-2023-20230420012304,jds,
176,Ashok Mruthyunjaya,ಅಶೋಕ್ ಮೃತ್ಯುಂಜಯ,s10/Ashok-2023-20230418023619,aap,
176,R K Ramesh,ಆರ್ ಕೆ ರಮೇಶ್,s10/RKRam-2023-20230418011123,inc,
176,M Krishnappa,ಎಂ ಕೃಷ್ಣಪ್ಪ,S10/MKris-2023-20230424124752,bjp,
177,Srinivas C Hullahalli,ಶ್ರೀನಿವಾಸ್ ಸಿ ಹುಲ್ಲಹಳ್ಳಿ,S10/Srini-2023-20230421065516,bjp,
177,B Shivanna,ಬಿ ಶಿವಣ್ಣ,S10/BShiv-2023-20230421064405,inc,
177,K P Raju,ಕೆ ಪಿ ರಾಜು,S10/KPRaj-2023-20230421063454,jds,
177,Munesha M,ಮುನೇಶ ಎಂ,S10/Munes-2023-20230421065550,aap,