name_en,name_kn,code,pop,area,mla_en,mla_kn,mla_party,elec_year,news_1,news_1_link,news_2,news_2_link,news_3,news_3_link,news_4,news_4_link,news_5,news_5_link,news_6,news_6_link,cm_article,,
Yelahanka,ಯಲಹಂಕ,150,407217,352,S R Viswanath,ಎಸ್ ಆರ್ ವಿಶ್ವನಾಥ್,bjp,2018,S R Vishwanath in dock for illegal site allotments,https://www.deccanherald.com/city/top-bengaluru-stories/bda-chairman-s-r-vishwanath-in-dock-for-illegal-site-allotments-1140001.html,BDA chief upset as Hesaraghatta grassland is declared reserve area,https://www.thehansindia.com/karnataka/bda-chief-upset-as-hesaraghatta-grassland-is-declared-reserve-area-760601,Details of MLA's 'illegal' assets presented to court,https://www.deccanherald.com/content/269304/details-mlas-illegal-assets-presented.html,,,,,,,https://bengaluru.citizenmatters.in/yelahanka-assembly-constituency-voter-information-112834,,
KR Pura,ಕೆ.ಆರ್. ಪುರ,151,487546,56,Basavaraja Byrathi ,ಬಸವರಾಜ ಬೈರತಿ,bjp,2019,Complaint lodged against minister in cop death case,https://www.daijiworld.com/news/newsDisplay?newsID=1015987,"Activist claims Rs 97 crore scam in construction of toilets, anganwadis",https://www.newindianexpress.com/cities/bengaluru/2023/apr/13/activist-claims-rs-97-crore-scam-in-construction-oftoilets-anganwadis-inkr-puram-2565419.html,IT corridor with infra woes may pose hurdle for Byrathi,https://www.newindianexpress.com/cities/bengaluru/2023/apr/18/it-corridor-with-infra-woes-may-posehurdle-for-byrathi-2566878.html,"Audio interaction between City Corporation Manager and contractor Krishna, who fell into the trap of the Lokayukta on bribe over excise tender",https://english.varthabharati.in/karnataka/paid-rs-15-lakh-to-dist-in-charge-minister-davanagere-officer-contractor-conversation-goes-viral,"Complaint against 2 ministers, 4 others over inspector’s death",https://www.deccanherald.com/city/bengaluru-crime/complaint-against-2-ministers-4-others-over-inspector-s-death-1158908.html,,,https://bengaluru.citizenmatters.in/krishnarajapuram-assembly-constituency-voter-information-112842#h-about-the-constituency,,
Byatarayanapura,ಬ್ಯಾಟರಾಯನಪುರ,152,469806,211,Krishna Byre Gowda,ಕೃಷ್ಣ ಬೈರೇಗೌಡ,inc,2018,"Don’t do politics on the road, angry MLA tells residents",https://english.publictv.in/dont-do-politics-on-the-road-angry-mla-tells-residents-in-thanisandra/,Priority is improving health infrastructure in Byatarayanapura and North Bengaluru: MLA,https://bengaluru.citizenmatters.in/krishan-byre-gowda-interview-111529,Karnataka Congress MLA Krishna Byre Gowda Engages In Hooliganism In His Constituency,https://www.republicworld.com/india-news/general-news/karnataka-congress-mla-krishna-byre-gowda-engages-in-hooliganism-in-his-constituency-articleshow.html,MLA filed a complaint before the EC alleging favouritism towards candidate who has not been named in two cases related to the seizure of material,https://indianexpress.com/article/cities/baroda/bribe-bjp-munindra-kumar-karnataka-congress-mla-tells-ec-8529767/,Gopinath Plot: MLA reveals decades-long land scam of Bengaluru,https://www.deccanherald.com/city/top-bengaluru-stories/gopinath-plot-mla-reveals-decades-long-land-scam-of-bengaluru-1147124.html,Congress MLA demands action against ex-Bengaluru corporator for voter bribery,https://www.thenewsminute.com/article/congress-mla-demands-action-against-ex-bengaluru-corporator-voter-bribery-175285,https://bengaluru.citizenmatters.in/byatarayanapura-assembly-constituency-voter-information-111534,,
Yeshwanthapura,ಯಶವಂತಪುರ,153,515716,396,S T Somashekar,ಎಸ್ ಟಿ ಸೋಮಶೇಖರ್,bjp,2019,MLA Somashekar booked for luring voters with food,https://www.thenewsminute.com/article/biryani-politics-karnataka-bjp-mla-somashekar-booked-luring-voters-food-175907,Somashekar accused of assaulting two labourers following a dispute over the building of a wall,https://www.deccanchronicle.com/nation/current-affairs/230218/congress-yeshwantpur-mla-s-t-somashekars-men-on-rampage.html,"SC rejects plea on graft probe against Karnataka Minister, IAS officer",https://www.deccanherald.com/state/top-karnataka-stories/sc-rejects-plea-on-graft-probe-against-karnataka-minister-ias-officer-1152375.html,"After laying pipeline, dug-up stretch of road in Banashankar completely forgotten by agencies",https://bangaloremirror.indiatimes.com/bangalore/civic/dug-up-in-2019-forgotten-till-date/articleshow/98526321.cms,,,,,https://bengaluru.citizenmatters.in/yeshwantpur-assembly-constituency-voter-information-113217,,
Rajarajeshwarinagar,ರಾಜರಾಜೇಶ್ವರಿನಗರ,154,462423,45,Munirathna Naidu,ಮುನಿರತ್ನ ನಾಯ್ಡು,bjp,2018,Minister booked over alleged hate speech against Christians,https://indianexpress.com/article/political-pulse/karnataka-minister-munirathna-arrest-8549583/,"Contractors’ Association president, 4 others arrested for levelling corruption charges against minister",https://bangaloremirror.indiatimes.com/bangalore/others/karnataka-contractors-association-president-4-others-arrested-for-levelling-corruption-charges-against-minister/articleshow/96501363.cms,Road in lake reeks of babu-contractor nexus: MP,https://www.newindianexpress.com/cities/bengaluru/2023/mar/28/road-in-lake-reeks-of-babu-contractor-nexus-mp-2560125.html,HC notice to minister Muniratna over illegal construction on Malathalli lake,https://english.varthabharati.in/karnataka/karnataka-hc-notice-to-minister-muniratna-over-illegal-construction-on-malathalli-lake,"Rs 1,500 cr BBMP fake bill scam: Cong MLA Munirathna Naidu named in CID chargesheet",https://www.thenewsminute.com/article/rs-1500-cr-bbmp-fake-bill-scam-cong-mla-munirathna-naidu-named-cid-chargesheet-77856,Bribe for votes : Election Commission books Karnataka Congress MLA Munirathna Naidu,https://www.opindia.com/2018/05/bribe-for-votes-election-commission-books-karnataka-congress-mla-munirathna-naidu/,https://bengaluru.citizenmatters.in/rajarajeshwarinagar-assembly-constituency-voter-information-112351,,
Dasarahalli,ದಾಸರಹಳ್ಳಿ,155,432751,37,Manjunatha R,ಮಂಜುನಾಥ ಆರ್,jds,2018,ದಾಸರಹಳ್ಳಿ ಶಾಸಕ Manjunath ವಿರುದ್ಧ ಜನರ ಪ್ರತಿಭಟನೆ ,https://www.youtube.com/watch?v=KfHcMoQCF50,MLA protests as BDA demolishes structures in Karanth Layout,https://www.newindianexpress.com/cities/bengaluru/2021/oct/26/mla-protests-as-bda-demolishes-structures-in-karanth-layout-2375729.html,BBMP’s model road project in Peenya Industrial Area,https://www.newindianexpress.com/cities/bengaluru/2023/mar/28/bbmps-model-road-projectin-peenya-industrial-area-2560124.html,"MLA is sending stinkers to senior citizen, threatening her of protests since path to a temple is getting blocked",https://bangaloremirror.indiatimes.com/bangalore/cover-story/dasarahalli-mla-is-sending-out-stinkers-to-this-senior-citizen-threatening-her-of-protests-since-path-to-a-temple-is-getting-blocked/articleshow/79357312.cms,,,,,https://bengaluru.citizenmatters.in/dasarahalli-assembly-constituency-voter-information-112182,,
Mahalakshmi Layout,ಮಹಾಲಕ್ಷ್ಮೀ ಲೇಔಟ್,156,277043,9,K Gopalaiah,ಕೆ ಗೋಪಾಲಯ್ಯ,bjp,2019,Activist roughed up by MLA supporters for questioning borewell dig,https://www.thenewsminute.com/article/bengaluru-activist-roughed-bjp-mla-s-supporter-questioning-borewell-dig-174667,Committed to keeping age limit for liquor consumption at 21: Minister K Gopalaiah,https://www.daijiworld.com/news/newsDisplay?newsID=1041140,"Congress alleges kickbacks in molasses export, releases recordings naming Bommai",https://thesouthfirst.com/karnataka/congress-alleges-kickbacks-in-molasses-export-releases-recordings-naming-bommai/,,,,,,,https://bengaluru.citizenmatters.in/mahalakshmi-layout-assembly-constituency-voter-information-112349,,
Malleshwaram,ಮಲ್ಲೇಶ್ವರಂ,157,216774,14,Dr Ashwath Narayan C N,ಡಾ ಅಶ್ವತ್ಥನಾರಾಯಣ ಸಿ ಎನ್,bjp,2018,"Minister got mobile numbers and other personal data of the voters in his constituency, sends messages",https://www.newindianexpress.com/states/karnataka/2023/apr/30/karnataka-polls-2023-bjps-ashwath-narayan-gets-personal-data-of-voters-sends-messages-to-them-2570844.html,Ashwath Narayan files defamation case against Kharge and two others of defaming him over the Sankey flyover,https://www.deccanherald.com/city/top-bengaluru-stories/sankey-flyover-ashwath-narayan-files-defamation-case-1214020.html,Ashwath Narayan’s appeal to ‘finish off’ Siddaramaiah leads to uproar,https://www.thehindu.com/news/national/karnataka/ashwath-narayans-appeal-to-finish-off-siddaramaiah-leads-to-uproar/article66516286.ece,Hindi Imposition is a Congress created controversy: Dr CN Ashwathnarayan,https://organiser.org/2023/03/21/165686/interviews/165686/,Kumaraswamy reiterates corruption charges against minister Ashwathnarayan in BMS Trust case,https://www.news9live.com/karnataka-election-2023/kumaraswamy-reiterates-corruption-charges-against-minister-ashwathnarayan-in-bms-trust-case-au13-2046639,,,https://bengaluru.citizenmatters.in/malleshwaram-assembly-constituency-voter-information-112875,,
Hebbal,ಹೆಬ್ಬಾಳ,158,269609,11,Bytari Suresh,ಬೈತರಿ ಸುರೇಶ್,inc,2018,MLA gifts smart TVs in Hebbal constituency,https://www.deccanchronicle.com/nation/politics/300123/congress-mla-gifts-smart-tvs-for-deserving-in-hebbal-constituenc.html,Byrathi Suresh manhandles a journalist in Delhi,https://www.deccanherald.com/state/karnataka-politics/siddaramaiahs-aide-manhandles-journalist-in-delhi-1206707.html,Nagaraj blames Suresh for death of Siddaramaiah's son,https://www.deccanherald.com/state/top-karnataka-stories/nagaraj-blames-suresh-for-death-of-siddaramaiahs-son-763304.html,MLA paid Rs 60 lakh to Karnataka Slum Development Board for the benefit of dwellers,https://bangaloremirror.indiatimes.com/bangalore/others/their-sliver-of-hope-in-title-deeds/articleshow/91842667.cms,ಹೆಬ್ಬಾಳ ಕ್ಷೇತ್ರದಲ್ಲೇ 38 ಸಾವಿರ ಮತದಾರರ ಹೆಸರು ಡಿಲೀಟ್: ಶಾಸಕ ಭೈರತಿ ಸುರೇಶ್ ಸ್ಫೋಟಕ ಆರೋಪ,https://tv9kannada.com/politics/38-thousand-voters-name-deleted-in-hebbal-only-says-congress-mla-byrathi-suresh-rbj-au58-472088.html,ಭ್ರಷ್ಟಾಚಾರ ಆರೋಪ ಮಾಡಿದ ಕಟ್ಟಾ ಸುಬ್ರಮಣ್ಯ ನಾಯ್ಡು ಮೇಲಿರುವ ಕೇಸ್‌ಗಳನ್ನ ಕೆದಕಿದ ಬೈರತಿ ಸುರೇಶ್,https://kannada.asianetnews.com/politics/congress-mla-byrathi-suresh-hits-back-at-bjp-katta-subramanya-naidu-allegations-rbj-rf45c3,https://bengaluru.citizenmatters.in/hebbal-assembly-constituency-voter-information-112790,,
Pulakeshinagar,ಪುಲಕೇಶಿನಗರ,159,232154,8,Akhanda Srinivasa Murthy R,ಅಖಂಡ ಶ್ರೀನಿವಾಸ ಮೂರ್ತಿ ಆರ್,inc,2018,MLA resigns from Assembly in the wake of reports that the Congress is unlikely to give him the ticket,https://www.thehindu.com/elections/karnataka-assembly/pulikeshinagar-mla-akhanda-srinivas-murthy-of-congress-resigns-from-assembly-before-elections-in-karnataka/article66751055.ece,Muslims offer MLA to repair his damaged home,https://ummid.com/news/2020/august/17.08.2020/muslims-offer-bengaluru-mla-to-repair-his-damaged-home.html,"A Stark Reminder Of How Factional Feuds Within The Party Have Often Triggered Riots, Burnt City",https://swarajyamag.com/politics/karnataka-two-probable-congress-candidates-in-bengaluru-will-be-a-stark-reminder-on-how-factional-feuds-within-party-often-triggered-riots-burnt-city,"Residents of Pulakeshinagar complain about drug menace, official neglect",https://www.deccanherald.com/city/so-near-soudha-yet-so-far-711600.html,,,,,https://bengaluru.citizenmatters.in/pulakeshinagar-sc-assembly-constituency-voter-information-112878,,
Sarvagnanagar,ಸರ್ವಜ್ಞನಗರ,160,353607,17,K J George,ಕೆ ಜೆ ಜಾರ್ಜ್,inc,2018,K J George pinpoints major flaws in anti-conversion Bill,https://www.sabrangindia.in/article/k-j-george-pinpoints-major-flaws-anti-conversion-bill,Money laundering case registered against KJ George,https://www.newindianexpress.com/states/karnataka/2019/sep/07/money-laundering-case-registered-against-kj-george-2030190.html,Karnataka HC quashes case involving cop's suicide against KJ George,https://www.newindianexpress.com/states/karnataka/2020/nov/05/karnataka-hcquashes-case-involving-cops-suicide-against-kj-george-2219580.html,"K J George, has an advice for party in Karnataka: not power, focus on party",https://indianexpress.com/article/political-pulse/k-j-george-karnataka-polls-sarvangana-nagar-candidate-congress-8566279/,,,,,https://bengaluru.citizenmatters.in/sarvagnanagar-assembly-constituency-voter-information-112846,,
C.V. Ramannagar,ಸಿ. ವಿ. ರಾಮನ್ ನಗರ,161,263367,22,Raghu S,ರಘು ಎಸ್,bjp,2018,"At your service, at last",https://bangaloremirror.indiatimes.com/bangalore/civic/at-your-service-at-last/articleshow/98316085.cms,Aam Aadmi Party workers attacked by supporters of BJP MLA Raghu!,https://www.thehansindia.com/karnataka/aam-aadmi-party-workers-attacked-by-supporters-of-bjp-mla-raghu-792647,"I worked hard, but CM discriminated against oppn MLAs' constituencies",https://www.deccanchronicle.com/nation/current-affairs/120418/i-worked-hard-but-cm-discriminated-against-oppn-mlas-constituencie.html,MLAs in Bengaluru distribute expensive ‘gifts’ to woo voters ahead of elections,https://www.thehindu.com/news/cities/bangalore/mlas-in-bengaluru-distribute-expensive-gifts-to-woo-voters-ahead-of-elections/article66451035.ece,,,,,https://bengaluru.citizenmatters.in/c-v-raman-nagar-assembly-constituency-voter-information-112343,,
Shivajinagar,ಶಿವಾಜಿನಗರ,162,194937,13,Rizwan Arshad,ರಿಜ್ವಾನ್ ಅರ್ಷದ್,inc,2019,"Hundreds of women protested against the MLA, following a raid wherein thousands of ration kits were seized",https://www.newindianexpress.com/cities/bengaluru/2023/mar/20/women-beat-set-fire-to-effigy-of-shivajinagar-mla-2557626.html,A 360-degree health plan for Shivajinagar is now a reality,https://bangaloremirror.indiatimes.com/bangalore/others/a-360-degree-health-plan-for-shivajinagar-is-now-a-reality/articleshow/98761666.cms,Winds of change blow away stench of garbage in Shivajinagar,https://bangaloremirror.indiatimes.com/bangalore/others/winds-of-change-blow-away-stench-of-garbage-in-shivajinagar/articleshow/98028041.cms,"Children’s education gets a boost with renovated, world-class schools in Shivajinagar",https://bangaloremirror.indiatimes.com/bangalore/others/childrens-education-gets-a-boost-with-renovated-world-class-schools-in-shivajinagar/articleshow/98571369.cms,,,,,https://bengaluru.citizenmatters.in/shivajinagar-assembly-constituency-voter-information-113225,,
